Title,Description
Boosted Classification Trees (ada),Boosted Classification Trees (ada)is a machine learning model.It is used for Classification. It has Boosting. It is a Ensemble Model. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Tree-Based Model. It has Two Class Only. 
Bagged AdaBoost (AdaBag),Bagged AdaBoost (AdaBag)is a machine learning model.It is used for Classification. It has Bagging. It has Boosting. It is a Ensemble Model. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Tree-Based Model. 
AdaBoost.M1 (AdaBoost.M1),AdaBoost.M1 (AdaBoost.M1)is a machine learning model.It is used for Classification. It has Boosting. It is a Ensemble Model. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Tree-Based Model. 
AdaBoost Classification Trees (adaboost),AdaBoost Classification Trees (adaboost)is a machine learning model.It is used for Classification. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. It is a Tree-Based Model. It has Two Class Only. 
Adaptive Mixture Discriminant Analysis (amdai),Adaptive Mixture Discriminant Analysis (amdai)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It is a Mixture Model. 
Adaptive-Network-Based Fuzzy Inference System (ANFIS),Adaptive-Network-Based Fuzzy Inference System (ANFIS)is a machine learning model.It is used for Regression. It is a Rule-Based Model. 
Model Averaged Neural Network (avNNet),Model Averaged Neural Network (avNNet)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Bagging. It is a Ensemble Model. It has L2 Regularization. It has Neural Network. 
Naive Bayes Classifier with Attribute Weighting (awnb),Naive Bayes Classifier with Attribute Weighting (awnb)is a machine learning model.It is used for Classification. It is a Bayesian Model. It has Categorical Predictors Only. 
Tree Augmented Naive Bayes Classifier with Attribute Weighting (awtan),Tree Augmented Naive Bayes Classifier with Attribute Weighting (awtan)is a machine learning model.It is used for Classification. It is a Bayesian Model. It has Categorical Predictors Only. 
Bagged Model (bag),Bagged Model (bag)is a machine learning model.It is used for Classification. It is used for Regression. It has Bagging. It is a Ensemble Model. 
Bagged MARS (bagEarth),Bagged MARS (bagEarth)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Multivariate Adaptive Regression Splines. 
Bagged MARS using gCV Pruning (bagEarthGCV),Bagged MARS using gCV Pruning (bagEarthGCV)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Multivariate Adaptive Regression Splines. 
Bagged Flexible Discriminant Analysis (bagFDA),Bagged Flexible Discriminant Analysis (bagFDA)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Multivariate Adaptive Regression Splines. 
Bagged FDA using gCV Pruning (bagFDAGCV),Bagged FDA using gCV Pruning (bagFDAGCV)is a machine learning model.It is used for Classification. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Multivariate Adaptive Regression Splines. 
Generalized Additive Model using Splines (bam),Generalized Additive Model using Splines (bam)is a machine learning model.It is used for Classification. It is used for Regression. It is a Generalized Additive Model. It is a Generalized Linear Model. 
Bayesian Additive Regression Trees (bartMachine),Bayesian Additive Regression Trees (bartMachine)is a machine learning model.It is used for Classification. It is used for Regression. It is a Bayesian Model. It has Implicit Feature Selection. It is a Tree-Based Model. It has Two Class Only. 
Bayesian Generalized Linear Model (bayesglm),Bayesian Generalized Linear Model (bayesglm)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It is a Bayesian Model. It is a Generalized Linear Model. It has Linear Classifier. It has Logistic Regression. 
Binary Discriminant Analysis (binda),Binary Discriminant Analysis (binda)is a machine learning model.It is used for Classification. It has Binary Predictors Only. It has Discriminant Analysis. It has Two Class Only. 
Boosted Tree (blackboost),Boosted Tree (blackboost)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Boosting. It is a Ensemble Model. It is a Tree-Based Model. 
The Bayesian lasso (blasso),The Bayesian lasso (blasso)is a machine learning model.It is used for Regression. It is a Bayesian Model. It has Implicit Feature Selection. It has L1 Regularization. It has Linear Regression. 
Bayesian Ridge Regression (Model Averaged) (blassoAveraged),Bayesian Ridge Regression (Model Averaged) (blassoAveraged)is a machine learning model.It is used for Regression. It is a Bayesian Model. It has L1 Regularization. It has Linear Regression. 
Bayesian Ridge Regression (bridge),Bayesian Ridge Regression (bridge)is a machine learning model.It is used for Regression. It is a Bayesian Model. It has L2 Regularization. It has Linear Regression. 
Bayesian Regularized Neural Networks (brnn),Bayesian Regularized Neural Networks (brnn)is a machine learning model.It is used for Regression. It is a Bayesian Model. It has Neural Network. It has Regularization. 
Boosted Linear Model (BstLm),Boosted Linear Model (BstLm)is a machine learning model.It is used for Classification. It is used for Regression. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. It has Linear Regression. 
Boosted Smoothing Spline (bstSm),Boosted Smoothing Spline (bstSm)is a machine learning model.It is used for Classification. It is used for Regression. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. 
Boosted Tree (bstTree),Boosted Tree (bstTree)is a machine learning model.It is used for Classification. It is used for Regression. It has Boosting. It is a Ensemble Model. It is a Tree-Based Model. 
C5.0 (C5.0),C5.0 (C5.0)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Boosting. It is a Ensemble Model. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Rule-Based Model. It is a Tree-Based Model. 
Cost-Sensitive C5.0 (C5.0Cost),Cost-Sensitive C5.0 (C5.0Cost)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Boosting. It has Cost Sensitive Learning. It is a Ensemble Model. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Rule-Based Model. It is a Tree-Based Model. It has Two Class Only. 
Single C5.0 Ruleset (C5.0Rules),Single C5.0 Ruleset (C5.0Rules)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Rule-Based Model. 
Single C5.0 Tree (C5.0Tree),Single C5.0 Tree (C5.0Tree)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Handle Missing Predictor Data. It has Implicit Feature Selection. It is a Tree-Based Model. 
Conditional Inference Random Forest (cforest),Conditional Inference Random Forest (cforest)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Bagging. It is a Ensemble Model. It has Implicit Feature Selection. It has Random Forest. 
CHi-squared Automated Interaction Detection (chaid),CHi-squared Automated Interaction Detection (chaid)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Implicit Feature Selection. It is a Tree-Based Model. It has Two Class Only. 
SIMCA (CSimca),SIMCA (CSimca)is a machine learning model.It is used for Classification. It is a Robust Model. 
Conditional Inference Tree (ctree),Conditional Inference Tree (ctree)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Implicit Feature Selection. It is a Tree-Based Model. 
Conditional Inference Tree (ctree2),Conditional Inference Tree (ctree2)is a machine learning model.It is used for Classification. It is used for Regression. It Accepts Case Weights. It has Implicit Feature Selection. It is a Tree-Based Model. 
Cubist (cubist),Cubist (cubist)is a machine learning model.It is used for Regression. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. It has Linear Regression. It is a Model Tree. It is a Prototype Models. It is a Rule-Based Model. 
Diagonal Discriminant Analysis (dda),Diagonal Discriminant Analysis (dda)is a machine learning model.It is used for Classification. It has Discriminant Analysis. It has Linear Classifier. It is a Polynomial Model. It has Regularization. 
DeepBoost (deepboost),DeepBoost (deepboost)is a machine learning model.It is used for Classification. It Accepts Case Weights. It has Boosting. It is a Ensemble Model. It has Implicit Feature Selection. It has L1 Regularization. It is a Tree-Based Model. It has Two Class Only. 
