Question,Answer,Score
Model for Classification?,Boosted Classification Trees (ada),0.8865179208760776
Model that has Boosting?,Boosted Classification Trees (ada),0.7924347199869116
Ensemble Model?,Boosted Classification Trees (ada),0.6160276617202601
Model that has Handle Missing Predictor Data?,Boosted Classification Trees (ada),0.7895404242128461
Model that has Implicit Feature Selection?,Boosted Classification Trees (ada),0.7589239538661818
Tree-Based Model?,Boosted Classification Trees (ada),0.7320311327974264
Model that has Two Class Only?,Boosted Classification Trees (ada),0.8157698111947285
Model for Classification?,Bagged AdaBoost (AdaBag),0.9253947858489864
Model that has Bagging?,Bagged AdaBoost (AdaBag),0.7939584858906853
Model that has Boosting?,Bagged AdaBoost (AdaBag),0.849279871158907
Ensemble Model?,Bagged AdaBoost (AdaBag),0.6276995032929035
Model that has Handle Missing Predictor Data?,Bagged AdaBoost (AdaBag),0.809646381690897
Model that has Implicit Feature Selection?,Bagged AdaBoost (AdaBag),0.7717315198385477
Tree-Based Model?,Bagged AdaBoost (AdaBag),0.6691391201717728
Model for Classification?,AdaBoost.M1 (AdaBoost.M1),0.9381558006414394
Model that has Boosting?,AdaBoost.M1 (AdaBoost.M1),0.8529237193205107
Ensemble Model?,AdaBoost.M1 (AdaBoost.M1),0.6553532365531611
Model that has Handle Missing Predictor Data?,AdaBoost.M1 (AdaBoost.M1),0.8253688564499483
Model that has Implicit Feature Selection?,AdaBoost.M1 (AdaBoost.M1),0.9098990146754183
Tree-Based Model?,AdaBoost.M1 (AdaBoost.M1),0.7125960471444691
Model for Classification?,AdaBoost Classification Trees (adaboost),0.9814306826957857
Model that has Boosting?,AdaBoost Classification Trees (adaboost),0.8574760470404633
Ensemble Model?,AdaBoost Classification Trees (adaboost),0.6423938679191251
Model that has Implicit Feature Selection?,AdaBoost Classification Trees (adaboost),0.7707505344967166
Tree-Based Model?,AdaBoost Classification Trees (adaboost),0.6760342015493322
Model that has Two Class Only?,AdaBoost Classification Trees (adaboost),0.9102752677719947
Model for Classification?,Adaptive Mixture Discriminant Analysis (amdai),0.9821102809821369
Model that has Discriminant Analysis?,Adaptive Mixture Discriminant Analysis (amdai),0.9235405968925021
Mixture Model?,Adaptive Mixture Discriminant Analysis (amdai),0.6567166724898768
Model for Regression?,Adaptive-Network-Based Fuzzy Inference System (ANFIS),0.9301396123158683
Rule-Based Model?,Adaptive-Network-Based Fuzzy Inference System (ANFIS),0.6523331543956187
Model for Classification?,Model Averaged Neural Network (avNNet),0.9756843933018916
Model for Regression?,Model Averaged Neural Network (avNNet),0.9827712954285723
What model Accepts Case Weights?,Model Averaged Neural Network (avNNet),0.7989791436817683
Model that has Bagging?,Model Averaged Neural Network (avNNet),0.8350737502369492
Ensemble Model?,Model Averaged Neural Network (avNNet),0.6417237046380659
Model that has L2 Regularization?,Model Averaged Neural Network (avNNet),0.7663017835580994
Model that has Neural Network?,Model Averaged Neural Network (avNNet),0.8874247733683526
Model for Classification?,Naive Bayes Classifier with Attribute Weighting (awnb),0.9214767754560783
Bayesian Model?,Naive Bayes Classifier with Attribute Weighting (awnb),0.6238806836276418
Model that has Categorical Predictors Only?,Naive Bayes Classifier with Attribute Weighting (awnb),0.933919396520968
Model for Classification?,Tree Augmented Naive Bayes Classifier with Attribute Weighting (awtan),0.8030466846239525
Bayesian Model?,Tree Augmented Naive Bayes Classifier with Attribute Weighting (awtan),0.7961807318652518
Model that has Categorical Predictors Only?,Tree Augmented Naive Bayes Classifier with Attribute Weighting (awtan),0.865728810702028
Model for Classification?,Bagged Model (bag),0.9125471480407025
Model for Regression?,Bagged Model (bag),0.9775291110787239
Model that has Bagging?,Bagged Model (bag),0.7574133411942416
Ensemble Model?,Bagged Model (bag),0.7967237579915716
Model for Classification?,Bagged MARS (bagEarth),0.923474529780082
Model for Regression?,Bagged MARS (bagEarth),0.9402866388244313
What model Accepts Case Weights?,Bagged MARS (bagEarth),0.8458382638419664
Model that has Bagging?,Bagged MARS (bagEarth),0.9251367061345832
Ensemble Model?,Bagged MARS (bagEarth),0.7242952764900112
Model that has Implicit Feature Selection?,Bagged MARS (bagEarth),0.8613291989753521
Model that has Multivariate Adaptive Regression Splines?,Bagged MARS (bagEarth),0.8777176934389387
Model for Classification?,Bagged MARS using gCV Pruning (bagEarthGCV),0.9013355251161483
Model for Regression?,Bagged MARS using gCV Pruning (bagEarthGCV),0.8842606089955106
What model Accepts Case Weights?,Bagged MARS using gCV Pruning (bagEarthGCV),0.707196122707236
Model that has Bagging?,Bagged MARS using gCV Pruning (bagEarthGCV),0.9305510317334837
Ensemble Model?,Bagged MARS using gCV Pruning (bagEarthGCV),0.7405183109541806
Model that has Implicit Feature Selection?,Bagged MARS using gCV Pruning (bagEarthGCV),0.8974307798729317
Model that has Multivariate Adaptive Regression Splines?,Bagged MARS using gCV Pruning (bagEarthGCV),0.7893192629794673
Model for Classification?,Bagged Flexible Discriminant Analysis (bagFDA),0.8847089403977869
What model Accepts Case Weights?,Bagged Flexible Discriminant Analysis (bagFDA),0.8812690802274767
Model that has Bagging?,Bagged Flexible Discriminant Analysis (bagFDA),0.9059302408436372
Ensemble Model?,Bagged Flexible Discriminant Analysis (bagFDA),0.6254866955346207
Model that has Implicit Feature Selection?,Bagged Flexible Discriminant Analysis (bagFDA),0.753721089881614
Model that has Multivariate Adaptive Regression Splines?,Bagged Flexible Discriminant Analysis (bagFDA),0.866674433003604
Model for Classification?,Bagged FDA using gCV Pruning (bagFDAGCV),0.8478627474408598
Model that has Bagging?,Bagged FDA using gCV Pruning (bagFDAGCV),0.8509465973602856
Ensemble Model?,Bagged FDA using gCV Pruning (bagFDAGCV),0.6964498343518558
Model that has Implicit Feature Selection?,Bagged FDA using gCV Pruning (bagFDAGCV),0.8271172273382571
