Title,Description
AdaBoost Classification Trees,"AdaBoost Classification Trees is a model of machine learning used for classification. AdaBoost Classification Trees is implemented in Caret under the library fastAdaboost. The method in Caret to use this model is adaboost. AdaBoost Classification Trees have the following tuning parameters: nIter, method."
AdaBoost.M1,"AdaBoost.M1 is a model of machine learning used for classification. AdaBoost.M1 is implemented in Caret under the library adabag, plyr. The method in Caret to use this model is AdaBoost.M1. AdaBoost.M1 have the following tuning parameters: mfinal, maxdepth, coeflearn."
Adaptive Mixture Discriminant Analysis,Adaptive Mixture Discriminant Analysis is a model of machine learning used for classification. Adaptive Mixture Discriminant Analysis is implemented in Caret under the library adaptDA. The method in Caret to use this model is amdai. Adaptive Mixture Discriminant Analysis have the following tuning parameters: model.
Adaptive-Network-Based Fuzzy Inference System,"Adaptive-Network-Based Fuzzy Inference System is a model of machine learning used for regression. Adaptive-Network-Based Fuzzy Inference System is implemented in Caret under the library frbs. The method in Caret to use this model is ANFIS. Adaptive-Network-Based Fuzzy Inference System have the following tuning parameters: num.labels, max.iter."
Adjacent Categories Probability Model for Ordinal Data,"Adjacent Categories Probability Model for Ordinal Data is a model of machine learning used for classification. Adjacent Categories Probability Model for Ordinal Data is implemented in Caret under the library VGAM. The method in Caret to use this model is vglmAdjCat. Adjacent Categories Probability Model for Ordinal Data have the following tuning parameters: parallel, link."
Bagged AdaBoost,"Bagged AdaBoost is a model of machine learning used for classification. Bagged AdaBoost is implemented in Caret under the library adabag, plyr. The method in Caret to use this model is AdaBag. Bagged AdaBoost have the following tuning parameters: mfinal, maxdepth."
Bagged CART,"Bagged CART is a model of machine learning used for classification and regression. Bagged CART is implemented in Caret under the library ipred, plyr, e1071. The method in Caret to use this model is treebag. Bagged CART have the following tuning parameters: None."
Bagged FDA using gCV Pruning,Bagged FDA using gCV Pruning is a model of machine learning used for classification. Bagged FDA using gCV Pruning is implemented in Caret under the library earth. The method in Caret to use this model is bagFDAGCV. Bagged FDA using gCV Pruning have the following tuning parameters: degree.
Bagged Flexible Discriminant Analysis,"Bagged Flexible Discriminant Analysis is a model of machine learning used for classification. Bagged Flexible Discriminant Analysis is implemented in Caret under the library earth, mda. The method in Caret to use this model is bagFDA. Bagged Flexible Discriminant Analysis have the following tuning parameters: degree, nprune."
Bagged Logic Regression,"Bagged Logic Regression is a model of machine learning used for classification and regression. Bagged Logic Regression is implemented in Caret under the library logicFS. The method in Caret to use this model is logicBag. Bagged Logic Regression have the following tuning parameters: nleaves, ntrees."
Bagged MARS,"Bagged MARS is a model of machine learning used for classification and regression. Bagged MARS is implemented in Caret under the library earth. The method in Caret to use this model is bagEarth. Bagged MARS have the following tuning parameters: nprune, degree."
Bagged MARS using gCV Pruning,Bagged MARS using gCV Pruning is a model of machine learning used for classification and regression. Bagged MARS using gCV Pruning is implemented in Caret under the library earth. The method in Caret to use this model is bagEarthGCV. Bagged MARS using gCV Pruning have the following tuning parameters: degree.
Bagged Model,Bagged Model is a model of machine learning used for classification and regression. Bagged Model is implemented in Caret under the library caret. The method in Caret to use this model is bag. Bagged Model have the following tuning parameters: vars.
Bayesian Additive Regression Trees,"Bayesian Additive Regression Trees is a model of machine learning used for classification and regression. Bayesian Additive Regression Trees is implemented in Caret under the library bartMachine. The method in Caret to use this model is bartMachine. Bayesian Additive Regression Trees have the following tuning parameters: num_trees, k, alpha, beta, nu."
Bayesian Generalized Linear Model,Bayesian Generalized Linear Model is a model of machine learning used for classification and regression. Bayesian Generalized Linear Model is implemented in Caret under the library arm. The method in Caret to use this model is bayesglm. Bayesian Generalized Linear Model have the following tuning parameters: None.
Bayesian Regularized Neural Networks,Bayesian Regularized Neural Networks is a model of machine learning used for regression. Bayesian Regularized Neural Networks is implemented in Caret under the library brnn. The method in Caret to use this model is brnn. Bayesian Regularized Neural Networks have the following tuning parameters: neurons.
Bayesian Ridge Regression,Bayesian Ridge Regression is a model of machine learning used for regression. Bayesian Ridge Regression is implemented in Caret under the library monomvn. The method in Caret to use this model is bridge. Bayesian Ridge Regression have the following tuning parameters: None.
Bayesian Ridge Regression (Model Averaged),Bayesian Ridge Regression (Model Averaged) is a model of machine learning used for regression. Bayesian Ridge Regression (Model Averaged) is implemented in Caret under the library monomvn. The method in Caret to use this model is blassoAveraged. Bayesian Ridge Regression (Model Averaged) have the following tuning parameters: None.
Binary Discriminant Analysis,Binary Discriminant Analysis is a model of machine learning used for classification. Binary Discriminant Analysis is implemented in Caret under the library binda. The method in Caret to use this model is binda. Binary Discriminant Analysis have the following tuning parameters: lambda.freqs.
Boosted Classification Trees,"Boosted Classification Trees is a model of machine learning used for classification. Boosted Classification Trees is implemented in Caret under the library ada, plyr. The method in Caret to use this model is ada. Boosted Classification Trees have the following tuning parameters: iter, maxdepth, nu."
Boosted Generalized Additive Model,"Boosted Generalized Additive Model is a model of machine learning used for classification and regression. Boosted Generalized Additive Model is implemented in Caret under the library mboost, plyr, import. The method in Caret to use this model is gamboost. Boosted Generalized Additive Model have the following tuning parameters: mstop, prune."
Boosted Generalized Linear Model,"Boosted Generalized Linear Model is a model of machine learning used for classification and regression. Boosted Generalized Linear Model is implemented in Caret under the library plyr, mboost. The method in Caret to use this model is glmboost. Boosted Generalized Linear Model have the following tuning parameters: mstop, prune."
Boosted Linear Model,"Boosted Linear Model is a model of machine learning used for classification and regression. Boosted Linear Model is implemented in Caret under the library bst, plyr. The method in Caret to use this model is BstLm. Boosted Linear Model have the following tuning parameters: mstop, nu."
Boosted Logistic Regression,Boosted Logistic Regression is a model of machine learning used for classification. Boosted Logistic Regression is implemented in Caret under the library caTools. The method in Caret to use this model is LogitBoost. Boosted Logistic Regression have the following tuning parameters: nIter.
Boosted Smoothing Spline,"Boosted Smoothing Spline is a model of machine learning used for classification and regression. Boosted Smoothing Spline is implemented in Caret under the library bst, plyr. The method in Caret to use this model is bstSm. Boosted Smoothing Spline have the following tuning parameters: mstop, nu."
Boosted Tree,"Boosted Tree is a model of machine learning used for classification and regression. Boosted Tree is implemented in Caret under the library party, mboost, plyr, partykit. The method in Caret to use this model is blackboost. Boosted Tree have the following tuning parameters: mstop, maxdepth."
Boosted Tree,"Boosted Tree is a model of machine learning used for classification and regression. Boosted Tree is implemented in Caret under the library bst, plyr. The method in Caret to use this model is bstTree. Boosted Tree have the following tuning parameters: mstop, maxdepth, nu."
C4.5-like Trees,"C4.5-like Trees is a model of machine learning used for classification. C4.5-like Trees is implemented in Caret under the library RWeka. The method in Caret to use this model is J48. C4.5-like Trees have the following tuning parameters: C, M."
C5.0,"C5.0 is a model of machine learning used for classification. C5.0 is implemented in Caret under the library C50, plyr. The method in Caret to use this model is C5.0. C5.0 have the following tuning parameters: trials, model, winnow."
CART,CART is a model of machine learning used for classification and regression. CART is implemented in Caret under the library rpart. The method in Caret to use this model is rpart. CART have the following tuning parameters: cp.
CART,CART is a model of machine learning used for classification and regression. CART is implemented in Caret under the library rpart. The method in Caret to use this model is rpart1SE. CART have the following tuning parameters: None.
CART,CART is a model of machine learning used for classification and regression. CART is implemented in Caret under the library rpart. The method in Caret to use this model is rpart2. CART have the following tuning parameters: maxdepth.
CART or Ordinal Responses,"CART or Ordinal Responses is a model of machine learning used for classification. CART or Ordinal Responses is implemented in Caret under the library rpartScore, plyr. The method in Caret to use this model is rpartScore. CART or Ordinal Responses have the following tuning parameters: cp, split, prune."
CHi-squared Automated Interaction Detection,"CHi-squared Automated Interaction Detection is a model of machine learning used for classification. CHi-squared Automated Interaction Detection is implemented in Caret under the library CHAID. The method in Caret to use this model is chaid. CHi-squared Automated Interaction Detection have the following tuning parameters: alpha2, alpha3, alpha4."
Conditional Inference Random Forest,Conditional Inference Random Forest is a model of machine learning used for classification and regression. Conditional Inference Random Forest is implemented in Caret under the library party. The method in Caret to use this model is cforest. Conditional Inference Random Forest have the following tuning parameters: mtry.
Conditional Inference Tree,Conditional Inference Tree is a model of machine learning used for classification and regression. Conditional Inference Tree is implemented in Caret under the library party. The method in Caret to use this model is ctree. Conditional Inference Tree have the following tuning parameters: mincriterion.
