Question,Answer,Score
How i use Support Vector Machines with Radial Basis Function Kernel?,Support Vector Machines with Radial Basis Function Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmRadialCost.,0.9397004047494116
How i use Penalized Logistic Regression?,Penalized Logistic Regression is implemented in Caret under the library stepPlr. The method in Caret to use this model is plr.,1.0021442673648548
What are the tuning parameters of Bagged AdaBoost?,"Bagged AdaBoost have the following tuning parameters: mfinal, maxdepth.",1.011028515142024
What is Bagged MARS using gCV Pruning?,Bagged MARS using gCV Pruning is a model of machine learning used for classification and regression.,0.8299766166236691
What are the tuning parameters of CART?,CART have the following tuning parameters: None.,0.7800412184674892
What is Linear Regression?,Linear Regression is a model of machine learning used for regression.,0.8318930710682262
How i use Robust Linear Discriminant Analysis?,Robust Linear Discriminant Analysis is implemented in Caret under the library rrcov. The method in Caret to use this model is Linda.,0.8943680555500982
What is k-Nearest Neighbors?,k-Nearest Neighbors is a model of machine learning used for classification and regression.,1.0475197988991498
How i use Naive Bayes?,Naive Bayes is implemented in Caret under the library klaR. The method in Caret to use this model is nb.,0.7490754578534355
What are the tuning parameters of Weighted Subspace Random Forest?,Weighted Subspace Random Forest have the following tuning parameters: mtry.,1.0383523080361017
What is the naivebayes package?,"In this implementation of the Naive Bayes classifier following class conditional distributions are available: Bernoulli, Categorical, Gaussian, Poisson and non-parametric representation of the class conditional density estimated via Kernel Density Estimation. Implemented classifiers handle missing data and can take advantage of sparse data.",0.8313814430740462
What are the tuning parameters of Random Forest by Randomization?,"Random Forest by Randomization have the following tuning parameters: mtry, numRandomCuts.",0.8821831522081761
What is the BART package?,"Bayesian Additive Regression Trees (BART) provide flexible nonparametric modeling of covariates for continuous, binary, categorical and time-to-event outcomes. For more information see Sparapani, Spanbauer and McCulloch <doi:10.18637/jss.v097.i01>.",0.9297917641152592
How i use Monotone Multi-Layer Perceptron Neural Network?,Monotone Multi-Layer Perceptron Neural Network is implemented in Caret under the library monmlp. The method in Caret to use this model is monmlp.,0.7675952445413867
What is Oblique Random Forest?,Oblique Random Forest is a model of machine learning used for regression.,-1.0216673747295757
What are the tuning parameters of Sparse Partial Least Squares?,"Sparse Partial Least Squares have the following tuning parameters: K, eta, kappa.",0.970990128614998
What is Distance Weighted Discrimination with Radial Basis Function Kernel?,Distance Weighted Discrimination with Radial Basis Function Kernel is a model of machine learning used for regression.,-0.9926235416362398
What is Linear Distance Weighted Discrimination?,Linear Distance Weighted Discrimination is a model of machine learning used for classification.,0.672323071508224
How i use Bagged MARS?,Bagged MARS is implemented in Caret under the library earth. The method in Caret to use this model is bagEarth.,0.8875188835532687
What is partDSA?,partDSA is a model of machine learning used for classification and regression.,1.0832140116076596
What are the tuning parameters of Sparse Distance Weighted Discrimination?,"Sparse Distance Weighted Discrimination have the following tuning parameters: lambda, lambda2.",0.6887398619686316
What are the tuning parameters of Semi-Naive Structure Learner Wrapper?,"Semi-Naive Structure Learner Wrapper have the following tuning parameters: k, epsilon, smooth, final_smooth, direction.",0.724957501172676
What are the tuning parameters of Neural Network?,"Neural Network have the following tuning parameters: layer1, layer2, layer3, learning.rate, momentum, dropout, activation.",1.0154246415414057
How i use CART or Ordinal Responses?,"CART or Ordinal Responses is implemented in Caret under the library rpartScore, plyr. The method in Caret to use this model is rpartScore.",0.9095095017860224
What is Adjacent Categories Probability Model for Ordinal Data?,Adjacent Categories Probability Model for Ordinal Data is a model of machine learning used for regression.,-0.7349085443648979
What is Relevance Vector Machines with Radial Basis Function Kernel?,Relevance Vector Machines with Radial Basis Function Kernel is a model of machine learning used for classification.,-0.9313984237443252
What are the tuning parameters of Boosted Classification Trees?,"Boosted Classification Trees have the following tuning parameters: iter, maxdepth, nu.",1.1264345598675312
How i use Neural Network?,Neural Network is implemented in Caret under the library mxnet. The method in Caret to use this model is mxnetAdam.,0.9704820653034772
What is Bayesian Generalized Linear Model?,Bayesian Generalized Linear Model is a model of machine learning used for classification and regression.,0.9314328279405556
How i use Rule-Based Classifier?,Rule-Based Classifier is implemented in Caret under the library RWeka. The method in Caret to use this model is JRip.,1.0453729471075857
What is Robust Regularized Linear Discriminant Analysis?,Robust Regularized Linear Discriminant Analysis is a model of machine learning used for classification.,0.7008999943925643
What is Continuation Ratio Model for Ordinal Data?,Continuation Ratio Model for Ordinal Data is a model of machine learning used for regression.,-1.1442282243375337
How i use Regularized Logistic Regression?,Regularized Logistic Regression is implemented in Caret under the library LiblineaR. The method in Caret to use this model is regLogistic.,0.9983874270884856
How i use Relaxed Lasso?,"Relaxed Lasso is implemented in Caret under the library relaxo, plyr. The method in Caret to use this model is relaxo.",0.912218900820618
What are the tuning parameters of Wang and Mendel Fuzzy Rules?,"Wang and Mendel Fuzzy Rules have the following tuning parameters: num.labels, type.mf.",0.7584631779449325
What is Spike and Slab Regression?,Spike and Slab Regression is a model of machine learning used for regression.,0.8715620187657465
What is Greedy Prototype Selection?,Greedy Prototype Selection is a model of machine learning used for classification.,0.7742835325743808
What is C4.5-like Trees?,C4.5-like Trees is a model of machine learning used for classification.,0.7155537179504461
What is Genetic Lateral Tuning and Rule Selection of Linguistic Fuzzy Systems?,Genetic Lateral Tuning and Rule Selection of Linguistic Fuzzy Systems is a model of machine learning used for regression.,1.1980949902119544
What is Logic Regression?,Logic Regression is a model of machine learning used for classification and regression.,0.8866628748582892
What are the tuning parameters of SIMCA?,SIMCA have the following tuning parameters: None.,0.8754465234147782
How i use eXtreme Gradient Boosting?,eXtreme Gradient Boosting is implemented in Caret under the library xgboost. The method in Caret to use this model is xgbLinear.,0.7822244346592824
What is Cubist?,Cubist is a model of machine learning used for classification.,-0.8264454272890602
What is Support Vector Machines with Radial Basis Function Kernel?,Support Vector Machines with Radial Basis Function Kernel is a model of machine learning used for classification and regression.,0.8909455224278097
What is Partial Least Squares?,Partial Least Squares is a model of machine learning used for classification and regression.,0.8162956601391106
What is Neural Network?,Neural Network is a model of machine learning used for classification and regression.,1.0374041483324377
What is Patient Rule Induction Method?,Patient Rule Induction Method is a model of machine learning used for classification.,0.8935197486645104
How i use Linear Regression?,Linear Regression is implemented in Caret under the library . The method in Caret to use this model is lm.,0.9666534842605624
What are the tuning parameters of Partial Least Squares?,Partial Least Squares have the following tuning parameters: ncomp.,0.8394401135232945
What is Oblique Random Forest?,Oblique Random Forest is a model of machine learning used for classification.,0.7075418083548886
What is the ggRandomForests package?,"Graphic elements for exploring Random Forests using the 'randomForest' or 'randomForestSRC' package for survival, regression and classification forests and 'ggplot2' package plotting.",0.9447030778320066
What are the tuning parameters of High-Dimensional Regularized Discriminant Analysis?,"High-Dimensional Regularized Discriminant Analysis have the following tuning parameters: gamma, lambda, shrinkage_type.",0.8976745237403039
How i use Model Rules?,Model Rules is implemented in Caret under the library RWeka. The method in Caret to use this model is M5Rules.,0.8762267275133219
What are the tuning parameters of Model Averaged Neural Network?,"Model Averaged Neural Network have the following tuning parameters: size, decay, bag.",0.8953150357851132
How i use CART?,CART is implemented in Caret under the library rpart. The method in Caret to use this model is rpart1SE.,0.9608081405907968
What is Quantile Regression with LASSO penalty?,Quantile Regression with LASSO penalty is a model of machine learning used for classification.,-0.908596647808236
How i use Boosted Generalized Additive Model?,"Boosted Generalized Additive Model is implemented in Caret under the library mboost, plyr, import. The method in Caret to use this model is gamboost.",0.8441140408173844
What is Logistic Model Trees?,Logistic Model Trees is a model of machine learning used for regression.,-1.0820999140370584
What is Bagged Flexible Discriminant Analysis?,Bagged Flexible Discriminant Analysis is a model of machine learning used for regression.,-0.8759218107682818
What is Naive Bayes Classifier with Attribute Weighting?,Naive Bayes Classifier with Attribute Weighting is a model of machine learning used for regression.,-0.9660717562791824
What are the tuning parameters of Penalized Discriminant Analysis?,Penalized Discriminant Analysis have the following tuning parameters: lambda.,0.9913479594567436
What is eXtreme Gradient Boosting?,eXtreme Gradient Boosting is a model of machine learning used for classification and regression.,0.9138715108789734
What are the tuning parameters of Quadratic Discriminant Analysis?,Quadratic Discriminant Analysis have the following tuning parameters: None.,0.8937575288875186
What are the tuning parameters of Hybrid Neural Fuzzy Inference System?,"Hybrid Neural Fuzzy Inference System have the following tuning parameters: num.labels, max.iter.",0.8917457333760259
How i use Oblique Random Forest?,Oblique Random Forest is implemented in Caret under the library obliqueRF. The method in Caret to use this model is ORFpls.,0.9936187019533956
What is the pamr package?,Some functions for sample classification in microarrays.,0.8686133221749365
What is C5.0?,C5.0 is a model of machine learning used for regression.,-1.068970892969514
What are the tuning parameters of Independent Component Regression?,Independent Component Regression have the following tuning parameters: n.comp.,0.814266964536337
What are the tuning parameters of Subtractive Clustering and Fuzzy c-Means Rules?,"Subtractive Clustering and Fuzzy c-Means Rules have the following tuning parameters: r.a, eps.high, eps.low.",0.8570985788414975
What are the tuning parameters of Quadratic Discriminant Analysis with Stepwise Feature Selection?,"Quadratic Discriminant Analysis with Stepwise Feature Selection have the following tuning parameters: maxvar, direction.",0.9246146456698762
How i use Multi-Step Adaptive MCP-Net?,Multi-Step Adaptive MCP-Net is implemented in Caret under the library msaenet. The method in Caret to use this model is msaenet.,0.8660943458787503
