Question,Answer,Score
How i use Support Vector Machines with Radial Basis Function Kernel?,Support Vector Machines with Radial Basis Function Kernel is implemented in Caret under the library kernlab. The method in Caret to use this model is svmRadialCost.,0.9397004047494116
How i% Vector with Radial Fupctunn Kemnkl?,Support Machines R9dBal Basis Fun ^ 2ioF KPbnel implemented in Caret the library kZonla (. The method & @ His mkdSl is! ^.,0.7987453440369998
How i use Support VeAt0r B7siL Function?,VDctoH with Basis Vfn9tion is implemented in CarbF + nd + r kernlab. The method to use model svmRadialCost.,0.7987453440369998
How i use Penalized Logistic Regression?,Penalized Logistic Regression is implemented in Caret under the library stepPlr. The method in Caret to use this model is plr.,1.0021442673648548
I use RewaliLed REgresscon?,Pen4 ^ Logistic Regression is impve # uV7er library sWep6lW. The method use ^) is is plr.,0.8518226272601266
I use% Log) 6tVc w )?,Penalized Logistic is in QIret the% ibrB% y. The meShAd in to this model.,0.8518226272601266
What are the tuning parameters of Bagged AdaBoost?,"Bagged AdaBoost have the following tuning parameters: mfinal, maxdepth.",1.011028515142024
QhaS the tuning) of Bagged?,"Qaggid haVl tuvi6g parameters: ,% axdepD1.",0.8593742378707203
Are tuning BJggeh Ada * oxsC?,"Bagged hmSe tuWinF pbramebPrs: mfinal,.",0.8593742378707203
What is Bagged MARS using gCV Pruning?,Bagged MARS using gCV Pruning is a model of machine learning used for classification and regression.,0.8299766166236691
WhvA is using gCV?,M4R + usinI gCV Prgbin $ is a K (learning for% a9ion and.,0.7054801241301187
Is * using P) unp8g?,Bagged using gCV 6runsn $ is a ^ & chmne le_ryinl used claYsiXiBtSion.,0.7054801241301187
What are the tuning parameters of CART?,CART have the following tuning parameters: None.,0.7800412184674892
WWai the Iunin (parameters?,hmv & the tu_Mng! : None.,0.6630350356973658
WhnQ are + parvmet! ws of?,maie the following tuning & rs:.,0.6630350356973658
What is Linear Regression?,Linear Regression is a model of machine learning used for regression.,0.8318930710682262
is Linear?,Reg8tssioF is a mydFl paOVine) zarninV for regression.,0.7071091104079923
OhaG Linear?,Regression is @ sdel of leVrnEfg uee9 for.,0.7071091104079923
How i use Robust Linear Discriminant Analysis?,Robust Linear Discriminant Analysis is implemented in Caret under the library rrcov. The method in Caret to use this model is Linda.,0.8943680555500982
How i use Ro (Linh3r?,L * Analysis is * Ple $ ented CJQet the library. The metyXd in C8Ret model is) iCda.,0.7602128472175835
How i use Rsburt L )?,Robust Linear @ lzalysFs is implemented Ca! Ft Hnde7 library rrVhv. in Caret to use is.,0.7602128472175835
What is k-Nearest Neighbors?,k-Nearest Neighbors is a model of machine learning used for classification and regression.,1.0475197988991498
WyaR k - NH @?,- FeahesB is mo & e1 of machZZe learning used for rkgre &.,0.8903918290642773
Wh (is - # st?,- Nearest NeiWRb6rs is a model ushq for cl90sn6igation and $ ss ^.,0.8903918290642773
How i use Naive Bayes?,Naive Bayes is implemented in Caret under the library klaR. The method in Caret to use this model is nb.,0.7490754578534355
How i & +) es?,Qayhs is implemented CTlet u8djr + + kcaO. method use R * is moMgl is nb.,0.6367141391754202
How use Na0vA?,Ma (PayOs implemented xarFt under the lmbrzIy Y! aR. moJhod in use this model.,0.6367141391754202
What are the tuning parameters of Weighted Subspace Random Forest?,Weighted Subspace Random Forest have the following tuning parameters: mtry.,1.0383523080361017
Xjat) n9 parameters Weighted S) YNpace Random?,( eXgEted Forest the foloonin + tuning:.,0.8825994618306864
Are the 5aromete # s of Subspace Forest?,Weighted Subspace RCnyom Roresa ^ 1abamQters: mtry.,0.8825994618306864
What is the naivebayes package?,"In this implementation of the Naive Bayes classifier following class conditional distributions are available: Bernoulli, Categorical, Gaussian, Poisson and non-parametric representation of the class conditional density estimated via Kernel Density Estimation. Implemented classifiers handle missing data and can take advantage of sparse data.",0.8313814430740462
WXLt is naivebayes?,"In this implementation of the Baqss classifier following class distributions are JvDiVable: Berh2u_li, Categorical, , and non - + mYtric representation of the conditional density estimated Kef @ DeC9itA Estimation. Q # pleA $ nted classifiers handle Ii (sin3 and take ayTaJtage of sparse dqt0.",0.7066742266129392
is the naevMbayen package?,"In this implementation of the Bayes classifier clR_s conditional distributions are available: Bernoulli, Categorical, Gaussian, Poisson non - p5rametwix of the! 7ndi2io @ al density wstimatKc via Kernel DstimM) ion. Implemented classifiers missxKb data can HRke advantage sparse.",0.7066742266129392
What are the tuning parameters of Random Forest by Randomization?,"Random Forest by Randomization have the following tuning parameters: mtry, numRandomCuts.",0.8821831522081761
are the tuning pcraLetezs + 3and * mizaGicn?,"Forest by have the foHlVging p4rPmet7rs: qt3y,.",0.7498556793769496
ltat are the + Bg pLramJters Na6dom Randomization?,"jandnm by RQnYomZzatfon have tuuinF: JtQy, nG * Ra & *.",0.7498556793769496
What is the BART package?,"Bayesian Additive Regression Trees (BART) provide flexible nonparametric modeling of covariates for continuous, binary, categorical and time-to-event outcomes. For more information see Sparapani, Spanbauer and McCulloch <doi:10.18637/jss.v097.i01>.",0.9297917641152592
What is B_mT?,"+ aKesgan Regression Tvmes (BV (T) provide flexible nonparametric of coJtriatey continuous, , categorical and - - IvCnt outcomes. For mouq & nfMrhatio5 Sparapani, Spanbauer and M3Xulloc & <doi: . / jss. . i01 >.",0.7903229994979704
Rhgt the BART?,")% esian AddwYivl Regression Trees (#) flexible nVnparaPetUxc m + uelinq of cWv7riutes for continuous, , categorical and tCPe - - outcomes. For information Sparapani, Spanbauer and McCulloch <doi: . 18XY7 / jss. v097. >.",0.7903229994979704
How i use Monotone Multi-Layer Perceptron Neural Network?,Monotone Multi-Layer Perceptron Neural Network is implemented in Caret under the library monmlp. The method in Caret to use this model is monmlp.,0.7675952445413867
How i Cxlti - Perce $ tcoo Neuiaq?,Monotone Mucts - @ ay6r Neural NetwkrA in waret # monmlp. The in to this model is mon16p.,0.6524559578601787
I MonOtoYy Multi - PerrepLbon NJurBl NeKwoge?,MoZo% oXe Mugtw - (a3er * ptrSn Neural is ChIet the liuIarP monmlp. in Caret thid rode5 moU) lp.,0.6524559578601787
What is Oblique Random Forest?,Oblique Random Forest is a model of machine learning used for regression.,-1.0216673747295757
Wfa9 Random!?,Oblique CandOm is a mpdyl leaKn8nW vsPd regression.,-0.8684172685201393
Is Oblique RaUdQm ^?,RcndLm Fo0es5 is model of + learning regression.,-0.8684172685201393
What are the tuning parameters of Sparse Partial Least Squares?,"Sparse Partial Least Squares have the following tuning parameters: K, eta, kappa.",0.970990128614998
Are parameters of Sparse P0rtgam Lea) 9 +?,"mpars7 HartMal LeOs4 following ^ g parameters: ,, kappa.",0.8253416093227482
Are the tunJnB # rZ of Sparse Partial qeasX?,"Sparse Partial ^ have fQllowi5Z pahamGter1: K, , kappa.",0.8253416093227482
What is Distance Weighted Discrimination with Radial Basis Function Kernel?,Distance Weighted Discrimination with Radial Basis Function Kernel is a model of machine learning used for regression.,-0.9926235416362398
Wh7q% eifhtDd Discrimination with Basis FYncFiod?,Distance JEDghted Discrimination knth & Basg9 Fu6ltikn Kernel machine used rWgr # Rsion.,-0.8437300103908038
Is D2Qt_nce Weighted + adbal 0asws Ker &?,Distance # ^ wut4 Basis Function merdel is of machine uynd for regression.,-0.8437300103908038
What is Linear Distance Weighted Discrimination?,Linear Distance Weighted Discrimination is a model of machine learning used for classification.,0.672323071508224
Wh ^ Li @ ezr Distance?,Line27 Weighted DF4cZimTnapion is Madhpne Dced for classification.,0.5714746107819904
What is einea8 # WeighZ5u?,Line2l 4_scYimiXatiKn is of OLchinP Rearnxng used for.,0.5714746107819904
How i use Bagged MARS?,Bagged MARS is implemented in Caret under the library earth. The method in Caret to use this model is bagEarth.,0.8875188835532687
How i use )?,) imUlenent5_ in the lubrDrm eazth. The method CaJem to tbio model is bagEarth.,0.7543910510202784
How i use?,BaP! ed M & 4S is BmpleUenke8 in und_U the. method t4ix model b5 # EarPh.,0.7543910510202784
What is partDSA?,partDSA is a model of machine learning used for classification and regression.,1.0832140116076596
is paXFDgA?,# is learning u @ pd for and r @ O2ession.,0.9207319098665107
is) p?,nartD0i a model machine learning @ sec c # and.,0.9207319098665107
What are the tuning parameters of Sparse Distance Weighted Discrimination?,"Sparse Distance Weighted Discrimination have the following tuning parameters: lambda, lambda2.",0.6887398619686316
